Title, Year
"The Blue Dahlia", 1946
"The Doberman Gang", 1972
"The Daring Dobermans", 1973
"MGM Parade Show #7", 1955
"Baby Doll", 1956
"Cat on a Hot Tin Roof", 1958
"The Blue Dahlia", 1946
"Now, Voyager", 1942
"I Know Where I'm Going", 1945
"Blithe Spirit", 1945
"Who's Afraid of Virginia Woolf?", 1966
"The Age of Innocence", 1993
"The Old Maid", 1939
"Our Dancing Daughters", 1928
"Black Moon", 1975
"Sans Soleil", 1983
"Mexican Spitfire at Sea", 1942
"Three Daring Daughters", 1948
"Romance on the High Seas", 1948
"The Gay Divorcee", 1934
"Libeled Lady", 1936
"One Way Passage", 1932
"Love Affair", 1939
"April in Paris", 1952
"Clash by Night", 1952
"Don't Bother to Knock", 1952
"The Asphalt Jungle", 1950
"Right Cross", 1950
"It Happened Tomorrow", 1944
"College Coach", 1933
"Hollywood Hotel", 1937
"Gus Arnheim and His Ambassador Hotel Orchestra", 1927
"Honeymoon Hotel", 1964
"Honeymoon Hotel", 1934
"Hotel Paradiso", 1966
"Hotel Berlin", 1945
"Hotel Reserve", 1944
"Hotel", 1967
"Porky's Hotel", 1939
"Grand Hotel", 1932
"Close Encounters of the Third Kind", 1977
"A.I. Artificial Intelligence", 2001
"Minority Report", 2002
"Poltergeist", 1982
"Two Sisters from Boston", 1946
"Two Girls and a Sailor", 1944
"Little Women", 1949
"Summer Stock", 1950
"Double Wedding", 1937
"Arsenic and Old Lace", 1944
"The Bachelor and the Bobby-Soxer", 1947
"The Poseidon Adventure", 1972
"Gray Lady Down", 1978
"A Night to Remember", 1958
"The Last Voyage", 1960
"Beyond the Poseidon Adventure", 1979
"Penrod and Sam", 1931
"Make Me a Star", 1932
"Father Takes a Walk", 1936
"Torchy Gets Her Man", 1938
"Adventures of Kitty O'Day", 1945
"Kidnapped", 1948
"News Hounds", 1947
"Blonde Dynamite", 1950
"Blues Busters", 1950
"Jalopy", 1953
"Do the Right Thing", 1989
"Reality Bites", 1994
"Slacker", 1990
"River's Edge", 1986
"Reckless", 1984
"Oxford Blues", 1984
"Turnabout", 1940
"Beyond Tomorrow", 1940
"The Devil and Daniel Webster", 1941
"The Horn Blows at Midnight", 1945
"I Married an Angel", 1942
"Topper Returns", 1941
"The Canterville Ghost", 1944
"The Rocking Horse Winner", 1949
"Scarlet Street", 1945
"The Killers", 1946
"Nightmare Alley", 1947
"The Yakuza", 1974
"The First Deadly Sin", 1980
"Sex and the Single Girl", 1964
"Lovers Courageous", 1932
"Batman Trapped", 1949
"Tarzan and the Great River", 1967
"Speedy Gonzales", 1955
"Water, Water Every Hare", 1952
"Knighty Knight Bugs", 1958
"San Francisco", 1936
"House of Wax", 1953
"36 Hours", 1964
"Dead Men Don't Wear Plaid", 1982
"Nights of Cabiria", 1957
"Babette's Feast", 1987
"Blackout", 1954
"My Dinner with Andre", 1981
"Dinner at Eight", 1933
"21 Days", 1940
"That Hamilton Woman", 1941
"Blackout", 1954
"Twentieth Century", 1934
"Same Time, Next Year", 1978
"On the Town", 1949
"Adam's Rib", 1949
"The Apartment", 1960
"The Secret of My Success", 1987
"A Modern Musketeer", 1917
"Ariel", 1988
"César", 1936
"Stars Over Broadway", 1935
"Swing Time", 1936
"It Happened in Brooklyn", 1947
"Manhattan Melodrama", 1934
"Sunday in New York", 1963
"East Side, West Side", 1949
"Crossing Delancey", 1988
"Two Girls on Broadway", 1940
"Bus Stop", 1956
"The Seven Year Itch", 1955
"Niagara", 1953
"Third Finger, Left Hand", 1940
"The Crowd", 1928
"MGM Parade Show #7", 1955
"Guns of Hate", 1948
"Western Heritage", 1948
"Bandit Ranger", 1942
"Six-Gun Gold", 1941
"Pirates of the Prairie", 1942
"Sagebrush Law", 1943
"Riding the Wind", 1942
"Target", 1952
"Gunplay", 1951
"The Arizona Ranger", 1948
"Desert Passage", 1952
"Border Treasure", 1950
"Period of Adjustment", 1962
"Toys in the Attic", 1963
"The World of Henry Orient", 1964
"Hawaii", 1966
"Main Street After Dark", 1945
"Ace of Aces", 1933
"Ever in My Heart", 1933
"Picture Snatcher", 1933
"Spitfire", 1934
"Fools for Scandal", 1938
"Dive Bomber", 1941
"Delightfully Dangerous", 1945
"Sunrise at Campobello", 1960
"The Towering Inferno", 1974
"Earthquake", 1974
"Crack in the World", 1965
"Meteor", 1979
"The Swarm", 1978
"San Francisco", 1936
"King Kong", 1933
"Two on a Guillotine", 1965
"The Hypnotic Eye", 1960
"Spider Baby", 1964
"Big Game Haunt", 1968
"Night Watch", 1973
"The Night Digger", 1971
"Viva Las Vegas", 1964
"The Phantom of the Opera", 1925
"Giant", 1956
"The Great Escape", 1963
"The Lodger", 1927
"Young and Innocent", 1937
"The Wrong Man", 1956
"The Lady Vanishes", 1938
"North by Northwest", 1959
"Foreign Correspondent", 1940
"Suspicion", 1941
"MGM Parade Show #7", 1955
"Zou Zou", 1934
"Song of Freedom", 1936
"A Raisin in the Sun", 1961
"Cry, the Beloved Country", 1951
"I Heard It Through the Grapevine", 1982
"The World, the Flesh and the Devil", 1959
"Love in the Afternoon", 1957
"Robin Rescues Batman", 1949
"Tarzan and the Jungle Boy", 1968
"Tortoise Beats Hare", 1941
"The Entertainer", 1960
"Saturday Night and Sunday Morning", 1960
"Reflections in a Golden Eye", 1967
"Bonnie and Clyde", 1967
"Rear Window", 1954
"Paper Moon", 1973
"The Man I Love", 1947
"My Brilliant Career", 1979
"Sweetie", 1989
"Our Vines Have Tender Grapes", 1945
"East of Eden", 1955
"The Man I Love", 1947
"Love Story", 1970
"Judge Hardy and Son", 1939
"The Courtship of Eddie's Father", 1963
"Life with Father", 1947
"Father of the Bride", 1950
"To Kill a Mockingbird", 1962
"Downhill", 1927
"My Life as a Dog", 1985
"Good Morning", 1959
"Valley of the Giants", 1938
"Valley of the Sun", 1942
"Vengeance Valley", 1951
"Valley of the Kings", 1954
"The Valley of Gwangi", 1969
"Tarzan and the Valley of Gold", 1966
"The Valley of Decision", 1945
"Deep Valley", 1947
"Some Like It Hot", 1959
"The Misfits", 1961
"The Prince and the Showgirl", 1957
"The Goddess", 1958
"Bombshell", 1933
"Flying With Music", 1942
"You're Only Young Once", 1937
"Maisie Goes to Reno", 1944
"Nancy Goes to Rio", 1950
"Rome Adventure", 1962
"The Roman Spring of Mrs. Stone", 1961
"Where the Boys Are", 1960
"Palm Springs Weekend", 1963
"The Sting", 1973
"Butch Cassidy and the Sundance Kid", 1969
"The Great Waldo Pepper", 1975
"Whistling in the Dark", 1941
"Whistling in Dixie", 1942
"Whistling in Brooklyn", 1943
"Lightning Strikes Twice", 1951
"An American Romance", 1944
"H.M. Pulham, Esq.", 1941
"Northwest Passage", 1940
"Comrade X", 1940
"The Citadel", 1938
"Street Scene", 1931
"The Andromeda Strain", 1971
"On the Beach", 1959
"The Omega Man", 1971
"The World, the Flesh and the Devil", 1959
"Night of the Living Dead", 1968
"Gojira", 1954
"The Last Days of Pompeii", 1935
"Catalina Caper", 1967
"All Ashore", 1953
"Gidget", 1959
"Big Wednesday", 1978
"For Those Who Think Young", 1964
"Ride the Wild Surf", 1964
"Chitty Chitty Bang Bang", 1968
"Smokey And The Bandit", 1977
"Christine", 1983
"The Yellow Rolls-Royce", 1964
"Corvette Summer", 1978
"M", 1931
"The Man Who Knew Too Much", 1934
"Mad Love", 1935
"Stranger on the Third Floor", 1940
"The Maltese Falcon", 1941
"The Mask of Dimitrios", 1944
"Three Strangers", 1946
"The Beast with Five Fingers", 1946
"Out of the Past", 1947
"Raw Deal", 1948
"Moonrise", 1948
"Harper", 1966
"The Drowning Pool", 1975
"Torture Money", 1937
"Don't Make Waves", 1967
"Eye of the Devil", 1966
"Target - Robin!", 1949
"Young Dr. Kildare", 1938
"Haredevil Hare", 1948
"The Hep Cat", 1942
"Rabbit Transit", 1947
"The Apple", 1980
"Forbidden Planet", 1956
"Bullitt", 1968
"Edge of Darkness", 1943
"Sullivan's Travels", 1942
"Contempt", 1963
"Stolen Face", 1952
"Night Moves", 1975
"Hot Summer Night", 1957
"MGM Parade Show #7", 1955
"Land of the Pharaohs", 1955
"The Prodigal", 1955
"Stolen Face", 1952
"Marty", 1955
"The Twelve Chairs", 1970
"The Producers", 1967
"Spaceballs", 1987
"Blazing Saddles", 1974
"Young Frankenstein", 1974
"The Iron Mask", 1929
"The Eagle Shooting Heroes", 1993
"Chungking Express", 1994
"Queen Christina", 1933
"The Gay Divorcee", 1934
"Caged", 1950
"Tea and Sympathy", 1956
"A Taste of Honey", 1961
"Victim", 1961
"Gilda", 1946
"Fragment of Seeking", 1946
"On the Edge", 1949
"The Assignation", 1953
"The Wormwood Star", 1956
"Winter Kept Us Warm", 1965
"Beautiful Thing", 1996
"Desert Hearts", 1985
"The Adventures of Priscilla, Queen of the Desert", 1994
"Mala Noche", 1986
"Orpheus", 1950
"Footsteps in the Dark", 1941
"The Amazing Dr. Clitterhouse", 1938
"Confessions of a Nazi Spy", 1939
"City for Conquest", 1940
"Hangmen Also Die!", 1943
"Cornered", 1946
"The Long Night", 1947
"Slap Shot", 1977
"Slaughterhouse-Five", 1972
"A Little Romance", 1979
"The Little Drummer Girl", 1984
"My Favorite Spy", 1942
