Title, Year
"Heaven Can Wait", 1943
"Angel on My Shoulder", 1946
"Cabin in the Sky", 1943
"The Story of Mankind", 1957
"The Green Pastures", 1936
"Heavenly Music", 1943
"Rachel and the Stranger", 1948
"Escape from Fort Bravo", 1953
"Union Station", 1950
"Stalag 17", 1953
"The Bridges at Toko-Ri", 1954
"The World of Suzie Wong", 1960
"Paris When It Sizzles", 1964
"Holiday Affair", 1949
"The Shop Around the Corner", 1940
"Bell Book and Candle", 1958
"Bundle of Joy", 1956
"Bachelor Mother", 1939
"A Carol for Another Christmas", 1964
"Tenth Avenue Angel", 1948
"Love Finds Andy Hardy", 1938
"On Moonlight Bay", 1951
"Prancer", 1989
"Three Godfathers", 1936
"The Thin Man", 1934
"The Apartment", 1960
"Remember the Night", 1940
"We're No Angels", 1955
"Lady in the Lake", 1947
"Alias Boston Blackie", 1942
"Cover Up", 1949
"The Curse of the Cat People", 1944
"Hell's Heroes", 1930
"A Christmas Carol", 1938
"Room for One More", 1952
"Susan Slept Here", 1954
"Desk Set", 1957
"Going My Way", 1944
"The Bells of St. Mary's", 1945
"Gold Diggers of 1933", 1933
"Call Her Savage", 1932
"There Ain't No Santa Claus", 1926
"Christmas Past", 1925
"Mon Oncle Antoine", 1971
"Period of Adjustment", 1962
"Blossoms in the Dust", 1941
"The Daughter of Rosie O'Grady", 1950
"Our Vines Have Tender Grapes", 1945
"Metropolitan", 1990
"The World of Henry Orient", 1964
"The Trouble With Angels", 1966
"Never Say Goodbye", 1946
"It Happened on 5th Avenue", 1947
"The Man Who Came to Dinner", 1942
"Fitzwilly", 1967
"Lady on a Train", 1945
"Miracle on Main Street", 1939
"Roadblock", 1951
"Kind Lady", 1935
"And So They Were Married", 1936
"The Man I Love", 1947
"Larceny, Inc.", 1942
"Backfire", 1950
"Mr. Soft Touch", 1949
"My Reputation", 1946
"Meet Me in St. Louis", 1944
"In the Good Old Summertime", 1949
"Meet John Doe", 1941
"Little Women", 1949
"Auntie Mame", 1958
"Three Godfathers", 1936
"Bachelor Mother", 1939
"All Mine to Give", 1957
"The Shop Around the Corner", 1940
"It Happened on 5th Avenue", 1947
"Holiday Affair", 1949
"Christmas in Connecticut", 1945
"The Bishop's Wife", 1947
"An Affair to Remember", 1957
"A Christmas Carol", 1938
"O. Henry's Full House", 1952
"Beyond Tomorrow", 1940
"Star in the Night", 1945
"Boys Town", 1938
"The Great Rupert", 1950
"Little Women", 1933
"Meet Me in St. Louis", 1944
"Pocketful of Miracles", 1961
"The Man Who Came to Dinner", 1942
"In the Good Old Summertime", 1949
"A Matter of Life and Death", 1947
"Angels in the Outfield", 1951
"A Guy Named Joe", 1943
"Heaven Only Knows", 1947
"The Horn Blows at Midnight", 1945
"Time Bandits", 1981
"Night and Day", 1946
"North by Northwest", 1959
"Operation Petticoat", 1959
"Indiscreet", 1958
"The Grass Is Greener", 1960
"That Touch of Mink", 1962
"Kramer vs. Kramer", 1979
"Top Secret!", 1984
"Walking Tall", 1973
"The Yearling", 1946
"The Entertainer", 1960
"Cool Hand Luke", 1967
"The Saint Takes Over", 1940
"Chaotic Creek", 1941
"Tarzan and the Amazons", 1945
"Wash Your Step", 1936
"Hairspray", 1988
"Ben-Hur", 1959
"Robin and Marian", 1976
"Here Comes Mr. Jordan", 1941
"Network", 1976
"Odd Man Out", 1947
"Grey Gardens", 1976
"Being There", 1979
"My Favorite Wife", 1940
"Libeled Lady", 1936
"Odd Man Out", 1947
"The Purple Rose of Cairo", 1985
"Lover Come Back", 1961
"Holiday", 1938
"The Muppets Take Manhattan", 1984
"Singin' in the Rain", 1952
"Blue Hawaii", 1961
"The King of Kings", 1927
"Ivan the Terrible (Part 1)", 1944
"Ivan the Terrible (Part 2)", 1958
"The Outrage", 1964
"Paris Blues", 1961
"Hud", 1963
"Sounder", 1972
"The Molly Maguires", 1970
"The Brotherhood", 1968
"The Front", 1976
"Top Hat", 1935
"Swing Time", 1936
"The Women", 1939
"Our Dancing Daughters", 1928
"Our Modern Maidens", 1929
"Our Blushing Brides", 1930
"Gypsy Colt", 1954
"Trained Hoofs", 1935
"Equestrian Acrobats", 1937
"Sequoia", 1934
"Flipper", 1963
"Flipper's New Adventure", 1964
"Zebra in the Kitchen", 1965
"Lions on the Loose", 1941
"Clarence, the Cross-Eyed Lion", 1965
"The Yearling", 1946
"Berlin Express", 1948
"Night Song", 1947
"The Lion Has Wings", 1939
"Deep in My Heart", 1954
"Hotel", 1967
"Room Service", 1938
"At the Circus", 1939
"A Day at the Races", 1937
"A Night at the Opera", 1935
"The Cocoanuts", 1929
"Animal Crackers", 1930
"Monkey Business", 1931
"Horse Feathers", 1932
"Duck Soup", 1933
"Bridget Jones's Diary", 2001
"Only You", 1994
"Sleepless in Seattle", 1993
"Diner", 1982
"Metropolitan", 1990
