Title, Year
"Her Brother", 1960
"Keiko Kishi, Eternally Rebellious", 2023
"Kwaidan", 1965
"The Garden of Women", 1954
"Four's a Crowd", 1938
"British Intelligence", 1940
"The Male Animal", 1942
"The Hard Way", 1942
"The Strawberry Blonde", 1941
"Gentleman Jim", 1942
"The Lady from Shanghai", 1948
"The Magnificent Seven", 1960
"High Noon", 1952
"High Noon on the Waterfront", 2022
"My Darling Clementine", 1946
"A Fistful of Dollars", 1964
"Know Your Ally: Britain", 1944
"Thunderbolt", 1947
"MGM Parade Show #26", 1955
"Three Comrades", 1938
"Cry 'Havoc'", 1944
"The Shining Hour", 1938
"So Ends Our Night", 1941
"The Shopworn Angel", 1938
"The Shop Around the Corner", 1940
"The Mortal Storm", 1940
"Dead Men Don't Wear Plaid", 1982
"This Gun for Hire", 1942
"In a Lonely Place", 1950
"Deception", 1946
"Johnny Eager", 1942
"White Heat", 1949
"The Cowboy Quarterback", 1939
"Barney's Hungry Cousin", 1953
"Headpin Hints", 1955
"Rambling 'Round Radio Row 8", 1934
"Rustlers", 1949
"The Pitfall", 1938
"Nurse-Mates", 1940
"Arrest Bulldog Drummond", 1939
"Wonderful World of Tupperware", 1965
"Finian's Rainbow", 1968
"The Shooting", 1966
"Guess Who's Coming to Dinner", 1967
"From Darkness to Light", 2024
"Frankenstein", 1931
"The Curse of Frankenstein", 1957
"Touchez pas au grisbi", 1954
"Guns Don't Argue", 1957
"Marsha Hunt's Sweet Adversity", 2015
"Up the Sandbox", 1972
"The Main Event", 1979
"Fisticuffs", 1938
"Touchez pas au grisbi", 1954
"Nora Prentiss", 1947
"A Life of Her Own", 1950
"Sparkle", 1976
"Coal Miner's Daughter", 1980
"Every Day's a Holiday", 1938
"My Little Chickadee", 1940
"The Heat's On", 1943
"A Straightforward Boy", 1929
"I Graduated, But...", 1929
"Cruel Story of Youth", 1960
"Boy", 1969
"Fugitive in the Sky", 1937
"Skyjacked", 1972
"Arctic Fury", 1949
"Five Came Back", 1939
"Test Pilot", 1938
"Ace of Aces", 1933
"Thirty Seconds Over Tokyo", 1944
"The Crowded Sky", 1960
"Out of Africa", 1985
"Barefoot in the Park", 1967
"The Hot Rock", 1972
"The Candidate", 1972
"Hollywood My Hometown", 1965
"Jalna", 1935
"In Name Only", 1939
"Caged", 1950
"Double Harness", 1933
"Little Lord Fauntleroy", 1936
"Night Song", 1947
"The Racket", 1951
"Abe Lincoln in Illinois", 1940
"Butch Cassidy and the Sundance Kid", 1969
"The Good, the Bad and the Ugly", 1968
"The Outlaw Josey Wales", 1976
"McCabe & Mrs. Miller", 1971
"Piccadilly Jim", 1936
"The Last of Mrs. Cheyney", 1937
"Mr. and Mrs. Smith", 1941
"They Were Expendable", 1945
"Night Must Fall", 1964
"When Ladies Meet", 1933
"Lady in the Lake", 1947
"Sayonara", 1957
"Flower Drum Song", 1961
"Cry for Happy", 1961
"The Horizontal Lieutenant", 1962
"Yellowface: Asian Whitewashing and Racism in Hollywood", 2019
"Gaby", 1956
"Guns of Darkness", 1962
"The Man with a Cloak", 1951
"An American in Paris", 1951
"Leslie Caron: The Reluctant Star", 2016
"Lili", 1953
"The Glass Slipper", 1955
"Fanny", 1961
"Broken Arrow", 1950
"Westward the Women", 1951
"Brokeback Mountain", 2005
"Buck and the Preacher", 1972
"Devil's Doorway", 1950
"Bearing Witness: Native American Voices in Hollywood", 2024
"Follow Me Quietly", 1949
"Mystery Street", 1950
"The Tattooed Stranger", 1950
"Scene of the Crime", 1949
"The Naked City", 1948
"Crime Wave", 1954
"The Big Combo", 1955
"While the City Sleeps", 1956
"The Best Years of Our Lives", 1946
"Till the End of Time", 1946
"Pride of the Marines", 1945
"Battle Cry", 1955
"Marines in the Making", 1942
"Wings for the Eagle", 1942
"Mister Roberts", 1955
"Sergeant York", 1941
"Hit the Deck", 1955
"Men Must Fight", 1933
"Men of the Fighting Lady", 1954
"Target Zero", 1955
"The Steel Helmet", 1951
"Men in War", 1957
"A Walk in the Sun", 1946
"Cornered", 1946
"Battleground", 1949
"Armored Command", 1961
"Ace of Aces", 1933
"The United States Army Air Force Band", 1942
"Air Force", 1943
"Cornered", 1946
"A Farewell to Arms", 1932
"Fighter Squadron", 1948
"Merrill's Marauders", 1962
"Take the High Ground!", 1953
"The Memphis Belle: A Story of a Flying Fortress", 1944
"The Bridge on the River Kwai", 1957
"The Red Badge of Courage", 1951
"Shoulder Arms", 1918
"A Sailor-Made Man", 1921
"The Mirror", 1975
"A Generation", 1955
"Report from the Aleutians", 1943
"Go for Broke!", 1951
"Flying Leathernecks", 1951
"Destination Tokyo", 1943
"The Story of G.I. Joe", 1945
"Darby's Rangers", 1958
"Where Eagles Dare", 1968
"The Great Escape", 1963
"The Dirty Dozen", 1967
"Kelly's Heroes", 1970
"Dark of the Sun", 1968
"The Great Caruso", 1951
"So This Is Love", 1953
"The Singing Nun", 1966
"Love Me or Leave Me", 1955
"The Helen Morgan Story", 1957
"Your Cheatin' Heart", 1964
"Interrupted Melody", 1955
"The Searchers", 1956
"Duel in the Sun", 1946
"Winchester '73", 1950
"I Shot Jesse James", 1949
"Blood on the Moon", 1948
"MGM Parade Show #26", 1955
"The Man Who Played God", 1932
"The Man Who Talked Too Much", 1940
"The Man Who Found Himself", 1937
"The Man Who Could Work Miracles", 1936
"The Man Who Dared", 1939
"The Man Who Makes the Difference", 1968
"The Man Who Came to Dinner", 1942
"The Man Who Knew Too Much", 1934
"The Man Who Laughs", 1966
"The Big Clock", 1948
"A Connecticut Yankee in King Arthur's Court", 1949
"Sorrowful Jones", 1949
"The Private Life of Don Juan", 1934
"The Lion Has Wings", 1939
"Affectionately Yours", 1941
"Callaway Went Thataway", 1951
"My Favorite Year", 1982
"It's Always Fair Weather", 1955
"Ginger and Fred", 1986
"A King in New York", 1957
"A Face in the Crowd", 1957
"Network", 1976
"Once Upon a Time in the West", 1969
"The Man Who Shot Liberty Valance", 1962
"The Ballad of Cable Hogue", 1970
"The Wild Bunch", 1969
"The Dawn Patrol", 1930
"Today We Live", 1933
"Sergeant York", 1941
"Air Force", 1943
"To Have and Have Not", 1944
"Tiger Shark", 1932
"Land of the Pharaohs", 1955
"Field of Dreams", 1989
"Cold Turkey", 1971
"State Fair", 1945
"The Music Man", 1962
"The Trouble with Girls", 1969
"Broadway Musketeers", 1938
"Bear and the Bean", 1947
"Inflation", 1933
"Rambling 'Round Radio Row 8", 1934
"The Bandit Trail", 1941
"Agent of Treachery", 1938
"Fightin' Pals", 1933
"Bulldog Drummond's Secret Police", 1939
"Trial by Trigger", 1944
"My Fair Lady", 1964
"Kelly's Heroes", 1970
"Every Which Way but Loose", 1978
"Bringing Up Baby", 1938
"Stage Door", 1937
"The Big Steal", 1949
"Magnum Force", 1973
"The Gauntlet", 1977
